Date ,Open 
13-12-2018,10810.75
14-12-2018,10784.5
17-12-2018,10853.2
18-12-2018,10850.9
19-12-2018,10930.55
20-12-2018,10885.2
21-12-2018,10944.25
24-12-2018,10780.9
26-12-2018,10635.45
27-12-2018,10817.9
28-12-2018,10820.95
31-12-2018,10913.2
01-01-2019,10881.7
02-01-2019,10868.85
03-01-2019,10796.8
04-01-2019,10699.7
07-01-2019,10804.85
08-01-2019,10786.25
09-01-2019,10862.4
10-01-2019,10859.35
11-01-2019,10834.75
14-01-2019,10807
15-01-2019,10777.55
16-01-2019,10899.65
17-01-2019,10920.85
18-01-2019,10914.85
21-01-2019,10919.35
22-01-2019,10949.8
23-01-2019,10931.05
24-01-2019,10844.05
25-01-2019,10859.75
28-01-2019,10792.45
29-01-2019,10653.7
30-01-2019,10702.25
31-01-2019,10690.55
01-02-2019,10851.35
04-02-2019,10876.75
05-02-2019,10908.65
06-02-2019,10965.1
07-02-2019,11070.45
08-02-2019,11023.5
11-02-2019,10930.9
12-02-2019,10879.7
13-02-2019,10870.55
14-02-2019,10786.1
15-02-2019,10780.25
18-02-2019,10738.65
19-02-2019,10636.7
20-02-2019,10655.45
21-02-2019,10744.1
22-02-2019,10782.7
25-02-2019,10813.25
26-02-2019,10775.3
27-02-2019,10881.2
28-02-2019,10865.7
01-03-2019,10842.65
05-03-2019,10864.85
06-03-2019,11024.85
07-03-2019,11077.95
08-03-2019,11038.85
11-03-2019,11068.75
12-03-2019,11231.35
13-03-2019,11326.2
14-03-2019,11382.5
15-03-2019,11376.85
18-03-2019,11473.85
19-03-2019,11500.3
20-03-2019,11553.35
22-03-2019,11549.2
25-03-2019,11395.65
26-03-2019,11375.2
27-03-2019,11531.45
28-03-2019,11463.65
29-03-2019,11625.45
01-04-2019,11665.2
02-04-2019,11711.55
03-04-2019,11735.3
04-04-2019,11660.2
05-04-2019,11638.4
08-04-2019,11704.35
09-04-2019,11612.05
10-04-2019,11646.85
11-04-2019,11592.55
12-04-2019,11612.85
15-04-2019,11667
16-04-2019,11736.2
18-04-2019,11856.15
22-04-2019,11727.05
23-04-2019,11612.95
24-04-2019,11601.5
25-04-2019,11735.7
26-04-2019,11683.75
30-04-2019,11748.75
02-05-2019,11725.55
03-05-2019,11722.6
06-05-2019,11605.8
07-05-2019,11651.5
08-05-2019,11478.7
09-05-2019,11322.4
10-05-2019,11314.15
13-05-2019,11258.7
14-05-2019,11151.65
15-05-2019,11271.7
16-05-2019,11180.35
17-05-2019,11261.9
20-05-2019,11651.9
21-05-2019,11863.65
22-05-2019,11727.95
23-05-2019,11901.3
24-05-2019,11748
27-05-2019,11855.5
28-05-2019,11958.35
29-05-2019,11905.8
30-05-2019,11865.3
31-05-2019,11999.8
03-06-2019,11953.75
04-06-2019,12052.65
06-06-2019,12039.8
07-06-2019,11865.2
10-06-2019,11934.9
11-06-2019,11959.85
12-06-2019,11962.45
13-06-2019,11873.9
14-06-2019,11910.1
17-06-2019,11844
18-06-2019,11677.05
19-06-2019,11744.45
20-06-2019,11653.65
21-06-2019,11827.6
24-06-2019,11725.8
25-06-2019,11681
26-06-2019,11768.15
27-06-2019,11860.85
28-06-2019,11861.15
01-07-2019,11839.9
02-07-2019,11890.3
03-07-2019,11932.15
04-07-2019,11928.8
05-07-2019,11964.75
08-07-2019,11770.4
09-07-2019,11531.6
10-07-2019,11536.15
11-07-2019,11561.45
12-07-2019,11601.15
15-07-2019,11614.75
16-07-2019,11596.65
17-07-2019,11670.75
18-07-2019,11675.6
19-07-2019,11627.95
22-07-2019,11392.85
23-07-2019,11372.25
24-07-2019,11322.45
25-07-2019,11290.4
26-07-2019,11247.45
29-07-2019,11307.5
30-07-2019,11213.7
31-07-2019,11034.05
01-08-2019,11060.2
02-08-2019,10930.3
05-08-2019,10895.8
06-08-2019,10815.4
07-08-2019,10958.1
08-08-2019,10899.2
09-08-2019,11087.9
13-08-2019,11139.4
14-08-2019,11003.25
16-08-2019,11043.65
19-08-2019,11094.8
20-08-2019,11063.9
21-08-2019,11018.15
22-08-2019,10905.3
23-08-2019,10699.6
26-08-2019,11000.3
27-08-2019,11106.55
28-08-2019,11101.3
29-08-2019,10996.05
30-08-2019,10987.8
03-09-2019,10960.95
04-09-2019,10790.4
05-09-2019,10860.95
06-09-2019,10883.8
09-09-2019,10936.7
11-09-2019,11028.5
12-09-2019,11058.3
13-09-2019,10986.8
16-09-2019,10994.85
17-09-2019,11000.1
18-09-2019,10872.8
19-09-2019,10845.2
20-09-2019,10746.8
23-09-2019,11542.7
24-09-2019,11590.7
25-09-2019,11564.85
26-09-2019,11469.85
27-09-2019,11556.35
30-09-2019,11491.15
01-10-2019,11515.4
03-10-2019,11322.25
04-10-2019,11388.45
07-10-2019,11196.2
09-10-2019,11152.95
10-10-2019,11280.5
11-10-2019,11257.7
14-10-2019,11335.9
15-10-2019,11360.85
16-10-2019,11464.95
17-10-2019,11466.3
18-10-2019,11580.3
22-10-2019,11657.15
23-10-2019,11596.2
24-10-2019,11661.65
25-10-2019,11646.15
27-10-2019,11662.25
29-10-2019,11643.95
30-10-2019,11883.9
31-10-2019,11890.45
01-11-2019,11886.6
04-11-2019,11928.9
05-11-2019,11974.6
06-11-2019,11911.5
07-11-2019,12021.1
08-11-2019,11987.15
11-11-2019,11879.2
13-11-2019,11908.3
14-11-2019,11858.75
15-11-2019,11904.2
18-11-2019,11915.15
19-11-2019,11919.45
20-11-2019,12004.75
21-11-2019,12025.65
22-11-2019,11967.3
